Name,Member Since,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21,2023-05-28,2023-06-04,2023-06-11,2023-06-18,2023-06-25,2023-07-02,2023-07-09,2023-07-16,2023-07-23,2023-07-30,2023-08-06,2023-08-13,2023-08-20,2023-08-27,2023-09-03,2023-09-10,2023-09-17,2023-09-24,2023-10-01,2023-10-08,2023-10-15,2023-10-22,2023-10-29,2023-11-05,2023-11-12,2023-11-19,2023-11-26,2023-12-03,2023-12-10,2023-12-17,2023-12-24,2023-12-31,2024-01-07,2024-01-14,2024-01-21,2024-01-28,2024-02-04,2024-02-11,2024-02-18,2024-02-25,2024-03-03,2024-03-10,2024-03-17,2024-03-24,2024-03-31,2024-04-07,2024-04-14,2024-04-21,2024-04-28,2024-05-05,2024-05-12,2024-05-19,2024-05-26,2024-06-02,2024-06-09,2024-06-16,2024-06-23,2024-06-30,2024-07-07,2024-07-14,2024-07-21,2024-07-28,2024-08-04,2024-08-11,2024-08-18,2024-08-25,2024-09-01,2024-09-08,2024-09-15,2024-09-18,2021-42-14,2021-42-13,2024-42-14,2024-09-19,2024-09-25,20121
Lycheeemelon,"June 8, 2020",10532,13732,12475,12161,12890,13349,13926,15337,15206,16252,16491,17373,15522,15090,14801,14051,14964,15206,15349,15367,14607,13820,16830,16570,15940,16798,15385,14963,16612,15872,17635,17227,18561,16035,16811,20619,24171,,22518,25000,23560,29138,27623,27770,27574,26857,26868,26651,27926,27773,27477,26476,27725,29277,29359,30872,31976,31635,33762,32492,33482,31909,33587,35266,37290,32469,33714,33199,35405,35706,38044,39527,40764,38858,39252,37349,,,,,,,,,,
superbbzzzzz,"June 8, 2020",2097,2090,2181,2092,2686,2499,,2485,3235,2945,2560,3573,3070,3866,2222,4293,4432,4719,4302,5031,4955,5273,5329,5842,4485,4995,5365,5425,4130,4653,4415,5490,,5849,6505,6400,11460,10422,,12504,13282,11925,13356,12205,13449,11800,13541,11216,14001,14254,13962,15512,14613,14988,18064,19597,15395,17966,17523,19670,19321,22501,21613,21320,23657,20962,21250,22147,24422,26261,25970,27049,25461,27292,26877,24441,,,,,,,,,,
BillyReady,"July 5, 2020",4247,4628,3971,4938,4938,4854,4094,5002,4925,5259,5235,5297,6271,6445,5970,5963,6062,6100,6350,6903,6912,7014,7020,7251,6553,6754,6804,7669,7699,7658,7891,8307,9047,8082,8689,9915,11971,12061,14447,14465,16653,17109,18234,17779,19425,18669,18818,22157,21088,22811,23146,23428,24019,24491,25983,26374,26666,27283,27651,27828,27946,30388,30417,31236,32073,29227,30853,30357,31771,32180,32292,33831,34137,34996,35214,35542,35825,37882,,,,,,,,
Rally,"September 30, 2020",13172,15347,17765,17658,19725,15600,16257,17129,17367,18540,19466,19410,20018,20220,20497,21085,21615,20457,19522,21349,21214,22326,25178,24760,22059,22889,23083,21081,22901,23912,23856,27028,26945,21488,23070,24675,36305,34785,35043,40176,39590,40425,40978,45229,51453,48091,47760,48938,50966,51858,51710,52868,56945,56984,55112,57559,58549,63032,63107,64525,65051,71127,70754,73152,74280,69029,69432,72053,71852,74317,76525,78789,77962,78345,82218,78614,78614,82361,,,,,,,,
Tatsoi,"October 27, 2020",5424,5000,4877,5670,,4975,5640,,5688,,6329,5723,6283,4027,6664,6213,8207,8256,8577,7156,4802,3005,8961,10378,9809,6942,9659,,4009,4668,9935,9382,12110,8238,6069,10100,13036,12807,,13390,16482,,16798,19408,20634,23924,26292,22181,24107,24743,26677,26533,27700,30505,27080,,30920,32557,27062,31558,31744,32132,33015,34158,,29682,36992,36637,35304,40522,42172,44798,46336,48260,48832,51277,51277,54007,,,,,,,,
memeboxx,"November 19, 2020",10595,9574,10104,10696,10418,10603,10945,11094,12128,,12777,13878,13796,13155,13067,14677,12689,12601,11527,11987,14858,14102,14155,14491,13440,13653,14092,12120,12881,14849,14770,14804,15980,14887,13548,,18592,18186,,20449,20061,23446,22657,21046,23876,22964,29331,24842,24333,27062,27832,27533,30619,33553,33361,33176,34350,35770,36222,39773,40820,41661,44051,43985,44504,45576,46667,45456,47681,46439,47234,57381,57381,58064,59745,54172,54172,,,,,,,,,
heatherhahah,"December 16, 2020",17966,18707,21733,18226,18168,18370,20204,19117,21091,22689,23209,24144,22813,20469,18808,20430,23450,23868,20169,22496,21317,20047,21724,22981,22987,21927,20468,,20877,23904,24980,25110,24206,22446,22489,25330,23510,27054,32414,31264,29127,29678,22642,36422,40064,41899,39662,37988,37730,40445,42693,43578,46281,45902,50420,50659,48473,50709,55116,54618,57981,63115,65111,66253,70058,57430,57874,60195,60502,63146,61731,68302,63741,68469,74421,70111,70111,,,,,,,,,
mikeszhang,"December 29, 2020",,7090,9617,9597,10102,9462,9481,,,9617,,10443,10575,,,10240,,10794,,10850,10822,11657,,,8335,9529,10951,11298,11912,12751,12929,14276,15019,,15453,17503,20378,23008,21454,22087,24415,26236,26846,27813,27138,27804,29784,25114,25702,33055,32242,29609,34001,34675,,35894,35684,28025,33544,35694,36321,37540,38034,38673,40171,,,28517,28119,30355,33247,42096,,35383,39051,33229,,,,,,,,,,
Drùú,"March 1, 2021",,6571,7443,7349,7261,,7415,7012,,,7258,9551,7361,9267,9900,9279,10754,10727,11053,11394,10721,10998,11726,11881,11612,12086,11926,9199,11678,11651,13499,14902,14958,,11365,12091,14443,16450,16818,17680,19506,20974,19107,19778,21987,22364,24140,23688,24233,24873,26906,27757,28223,29883,30875,29557,28463,30515,30674,30471,34378,32590,36307,37182,37156,35033,33264,34358,30034,33483,34156,33500,35455,33955,35445,34391,,36411,,,,,,,,
LushChoice,"March 3, 2021",11287,10581,11572,12835,12292,10040,9907,11492,11336,12917,,12089,13386,10256,13989,16197,15053,17595,13264,15271,16321,16584,,16922,,16301,16626,16855,,16734,13620,18018,18657,16195,,16451,19768,22625,,,24685,,21227,25285,24450,24613,,20910,23291,23137,22631,,23494,21955,31880,30987,32896,31124,,32286,32699,34814,32481,34761,34148,35484,35478,35696,37109,40223,44073,42299,43625,47429,,42610,42610,,,,,,,,,
